City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Thompson,CA,55.7435,-97.8558,42.8,31,75,6.91,broken clouds
161,Cabinda,AO,-5.55,12.2,80.04,83,99,3.24,overcast clouds
162,Karratha,AU,-20.7377,116.8463,81.25,46,6,6.89,clear sky
163,Guozhen,CN,34.3659,107.359,47.89,93,100,2.44,light rain
164,Litovko,RU,49.2361,135.1742,31.55,69,79,0.54,broken clouds
165,Isiro,CD,2.7739,27.616,71.42,77,97,3.47,overcast clouds
166,Ngunguru,NZ,-35.6167,174.5,61.0,97,87,1.99,overcast clouds
167,Norman Wells,CA,65.282,-126.8329,23.0,54,75,16.11,broken clouds
168,Shenjiamen,CN,29.9576,122.298,50.49,64,1,19.13,clear sky
169,Dalbandin,PK,28.8947,64.4101,77.4,19,98,6.98,overcast clouds
170,Lingao,CN,19.9103,109.6859,74.21,92,3,10.04,clear sky
171,Kirakira,SB,-10.4544,161.9205,82.47,79,74,2.57,broken clouds
172,Quatre Cocos,MU,-20.2078,57.7625,81.0,77,51,7.0,broken clouds
173,Simao,CN,22.7886,100.9748,57.7,95,100,1.43,overcast clouds
174,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.72,78,14,9.01,few clouds
175,Boa Vista,BR,2.8197,-60.6733,80.6,83,90,11.5,light rain
176,Sao Filipe,CV,14.8961,-24.4956,74.37,71,11,8.37,few clouds
177,Flin Flon,CA,54.7682,-101.865,44.6,39,90,9.22,overcast clouds
178,Manta,EC,-0.95,-80.7333,82.4,74,90,5.75,overcast clouds
179,Hambantota,LK,6.1241,81.1185,77.13,79,100,6.04,overcast clouds
180,Mastic Beach,US,40.7668,-72.8521,60.8,27,1,10.36,clear sky
181,Mustafakemalpasa,TR,40.0353,28.4117,57.2,87,75,11.5,broken clouds
182,Canutama,BR,-6.5339,-64.3831,79.38,88,100,2.8,overcast clouds
183,Sorland,NO,67.667,12.6934,30.2,86,75,2.3,light snow
184,Shaowu,CN,27.3409,117.4831,60.49,88,100,0.74,overcast clouds
185,Luoyang,CN,34.6836,112.4536,46.94,50,98,2.68,overcast clouds
186,Khuzdar,PK,27.7384,66.6434,72.03,29,15,7.02,few clouds
187,Bac Lieu,VN,9.285,105.7244,81.39,77,46,14.56,scattered clouds
188,Severo-Yeniseyskiy,RU,60.3725,93.0408,29.95,97,100,7.49,overcast clouds
189,Campos Altos,BR,-19.6961,-46.1714,70.81,69,100,4.76,overcast clouds
190,Valparaiso,CL,-33.0393,-71.6273,62.6,100,75,5.75,broken clouds
191,Bengkulu,ID,-3.8004,102.2655,76.62,83,100,9.6,overcast clouds
192,Jalu,LY,29.0331,21.5482,72.59,10,0,11.45,clear sky
193,Inuvik,CA,68.3499,-133.7218,14.0,67,100,5.75,light snow
194,Ugoofaaru,MV,5.6667,73.0,83.95,67,75,13.31,broken clouds
195,Ahipara,NZ,-35.1667,173.1667,65.07,72,95,4.41,overcast clouds
196,Mariana,BR,-20.3778,-43.4161,67.59,91,61,4.7,broken clouds
197,College,US,64.8569,-147.8028,33.8,64,90,13.8,snow
198,Ixtapa,MX,20.7,-105.2,80.6,78,1,13.8,clear sky
199,Ferrandina,IT,40.5012,16.4547,50.0,61,0,13.8,clear sky
200,Sambava,MG,-14.2667,50.1667,78.06,85,99,5.73,overcast clouds
201,Clarksdale,US,34.2001,-90.5709,73.4,28,0,8.08,clear sky
202,Cabedelo,BR,-6.9811,-34.8339,80.6,89,40,6.91,scattered clouds
203,Anadyr,RU,64.75,177.4833,-7.01,84,0,8.95,clear sky
204,Port Alfred,ZA,-33.5906,26.891,67.03,87,51,12.37,broken clouds
205,Tasiilaq,GL,65.6145,-37.6368,19.4,86,75,19.57,snow
206,Bonavista,CA,48.6499,-53.1147,39.2,93,100,1.14,overcast clouds
207,Cabo San Lucas,MX,22.8909,-109.9124,91.4,19,1,24.16,clear sky
208,Saldanha,ZA,-33.0117,17.9442,64.4,88,6,8.05,clear sky
209,Bolshaya Rechka,RU,51.9503,104.7355,33.8,100,75,2.82,broken clouds
210,Mackenzie,CA,55.2999,-123.1698,41.0,56,20,2.3,few clouds
211,Leh,IN,34.1667,77.5833,34.79,82,99,5.64,overcast clouds
212,Henties Bay,NA,-22.116,14.2845,69.89,68,11,5.93,few clouds
213,Aquiraz,BR,-3.9014,-38.3911,82.99,78,20,8.05,few clouds
214,Antsirabe,MG,-19.85,47.0333,58.28,95,27,3.71,scattered clouds
215,Koszalin,PL,54.1944,16.1722,42.01,80,82,17.0,broken clouds
216,Tarakan,ID,3.3,117.6333,79.97,80,95,5.46,light rain
217,Edson,CA,53.5835,-116.4356,41.0,52,75,12.66,broken clouds
218,Provideniya,RU,64.3833,-173.3,5.0,61,0,5.84,clear sky
219,Hobyo,SO,5.3505,48.5268,82.51,68,62,14.05,broken clouds
220,Huilong,CN,31.8111,121.655,50.0,65,1,10.33,clear sky
221,Camanducaia,BR,-22.7553,-46.1447,69.8,68,20,12.66,few clouds
222,Coihaique,CL,-45.5752,-72.0662,60.8,67,75,5.75,broken clouds
223,Tahoua,NE,14.8888,5.2692,87.8,6,0,9.22,clear sky
224,Mizdah,LY,31.4451,12.9801,74.07,26,97,14.34,overcast clouds
225,Mehamn,NO,71.0357,27.8492,33.04,97,100,5.84,light snow
226,Acapulco,MX,16.8634,-99.8901,86.0,66,1,11.5,clear sky
227,Buala,SB,-8.145,159.5921,81.75,82,78,3.85,light rain
228,Vila,PT,42.0304,-8.1588,57.99,55,16,1.01,few clouds
229,Port Hardy,CA,50.6996,-127.4199,46.4,57,20,12.66,few clouds
230,Okha,RU,53.5739,142.9478,8.35,87,4,9.73,clear sky
231,Meulaboh,ID,4.1363,96.1285,76.51,88,100,3.53,overcast clouds
232,Balkanabat,TM,39.5108,54.3671,57.31,50,0,2.98,clear sky
233,Hobart,AU,-42.8794,147.3294,55.0,71,40,5.75,scattered clouds
234,Komsomolskiy,UZ,40.4272,71.7189,48.2,87,75,4.79,broken clouds
235,Salalah,OM,17.0151,54.0924,80.6,83,0,3.44,clear sky
236,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,40,11.5,scattered clouds
237,Sitka,US,57.0531,-135.33,39.2,93,90,13.8,light rain
238,Lima,PE,-12.0432,-77.0282,78.8,57,0,9.22,clear sky
239,Talnakh,RU,69.4865,88.3972,4.1,72,100,11.54,overcast clouds
240,Florida,US,28.7505,-82.5001,77.0,37,1,8.05,clear sky
241,Hay River,CA,60.8156,-115.7999,19.4,63,100,6.91,overcast clouds
242,Doha,QA,25.2867,51.5333,71.6,46,0,13.8,clear sky
243,Zhigansk,RU,66.7697,123.3711,-24.84,100,76,5.14,broken clouds
