City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Pirapozinho,BR,2021-04-02 16:44:54,-22.2753,-51.5,84.2,32,20,9.22
188,Olafsvik,IS,2021-04-02 16:49:54,64.8945,-23.7142,41.5,86,30,17.67
189,Itarema,BR,2021-04-02 16:49:54,-2.9248,-39.9167,86.58,59,20,13.18
190,Nha Trang,VN,2021-04-02 16:49:54,12.25,109.1833,80.6,83,20,1.14
191,Naze,JP,2021-04-02 16:49:55,28.3667,129.4833,66.45,94,100,15.84
192,Kropotkin,RU,2021-04-02 16:49:55,45.4375,40.5756,47.26,80,83,13.91
193,Mogadishu,SO,2021-04-02 16:49:55,2.0371,45.3438,82.26,77,21,13.56
194,Lavrentiya,RU,2021-04-02 16:49:56,65.5833,-171.0,7.93,94,100,16.89
195,Antofagasta,CL,2021-04-02 16:49:56,-23.65,-70.4,73.0,68,0,14.97
196,Mareeba,AU,2021-04-02 16:49:56,-17.0,145.4333,75.2,78,75,14.97
197,Antipolo,PH,2021-04-02 16:49:57,14.5864,121.1753,82.4,61,20,6.91
198,Elizabeth City,US,2021-04-02 16:48:04,36.2946,-76.2511,42.01,45,75,13.8
199,Denpasar,ID,2021-04-02 16:49:57,-8.65,115.2167,80.6,83,20,1.14
200,Nanortalik,GL,2021-04-02 16:49:58,60.1432,-45.2371,35.92,99,100,3.94
201,Baryatino,RU,2021-04-02 16:49:58,54.3121,34.521,34.43,85,80,3.22
202,Parkes,AU,2021-04-02 16:49:58,-33.1333,148.1833,61.0,74,4,3.67
203,Lincoln,US,2021-04-02 16:47:55,40.8,-96.667,61.0,27,1,21.85
204,Emerald,AU,2021-04-02 16:49:59,-23.5333,148.1667,68.0,68,0,10.36
205,Paamiut,GL,2021-04-02 16:49:59,61.994,-49.6678,29.28,97,100,8.25
206,Cape Town,ZA,2021-04-02 16:49:51,-33.9258,18.4232,68.0,56,0,11.5
207,Khartoum,SD,2021-04-02 16:46:23,15.5518,32.5324,92.17,7,9,16.31
208,Tarpon Springs,US,2021-04-02 16:50:00,28.1461,-82.7568,66.0,39,1,9.22
209,Borovichi,RU,2021-04-02 16:50:00,58.3878,33.9155,34.05,93,100,2.48
210,Port Lincoln,AU,2021-04-02 16:50:00,-34.7333,135.8667,69.44,56,0,6.38
211,Kahului,US,2021-04-02 16:50:01,20.8947,-156.47,66.99,100,40,5.75
212,Berlevag,NO,2021-04-02 16:50:01,70.8578,29.0864,29.62,77,85,1.19
213,Porto Novo,BJ,2021-04-02 16:50:03,6.4965,2.6036,87.8,62,20,9.22
214,Touros,BR,2021-04-02 16:50:03,-5.1989,-35.4608,87.8,58,40,11.5
215,Zhigansk,RU,2021-04-02 16:50:04,66.7697,123.3711,-4.05,98,100,5.88
216,Nelson Bay,AU,2021-04-02 16:50:04,-32.7167,152.15,59.0,100,9,3.29
217,Khani,GE,2021-04-02 16:50:04,41.9563,42.9566,48.2,87,75,4.61
218,Vila Franca Do Campo,PT,2021-04-02 16:50:05,37.7167,-25.4333,62.6,82,40,16.11
219,Sivaki,RU,2021-04-02 16:50:05,52.6333,126.75,21.29,68,100,24.07
220,Parrita,CR,2021-04-02 16:46:35,9.5201,-84.3225,79.0,53,40,18.41
221,Lagoa,PT,2021-04-02 16:50:05,39.05,-27.9833,60.71,79,100,20.36
222,Kudahuvadhoo,MV,2021-04-02 16:50:06,2.6708,72.8944,82.83,77,18,15.43
223,Sao Filipe,CV,2021-04-02 16:50:06,14.8961,-24.4956,75.63,64,1,8.05
224,Monroe,US,2021-04-02 16:50:06,43.1501,-77.6831,33.01,43,20,14.97
225,Ancud,CL,2021-04-02 16:50:07,-41.8697,-73.8203,53.6,82,90,4.61
226,Tromso,NO,2021-04-02 16:50:07,69.6496,18.957,33.8,93,75,6.91
227,Nanakuli,US,2021-04-02 16:50:08,21.3906,-158.1547,71.01,73,1,4.61
228,Sinjar,IQ,2021-04-02 16:50:08,36.3209,41.8754,57.47,34,2,5.93
229,Mayo,US,2021-04-02 16:50:08,38.8876,-76.5119,42.01,44,20,14.97
230,Mazamari,PE,2021-04-02 16:50:09,-11.3258,-74.5308,75.67,85,100,0.34
231,Kaman,IN,2021-04-02 16:50:09,27.65,77.2667,76.77,8,0,7.2
232,Provideniya,RU,2021-04-02 16:50:09,64.3833,-173.3,10.56,94,100,16.13
233,Lompoc,US,2021-04-02 16:49:33,34.6391,-120.4579,48.2,93,1,4.61
234,Rila,BG,2021-04-02 16:50:10,42.1333,23.1333,60.8,51,0,10.36
235,Uzunovo,RU,2021-04-02 16:50:10,54.5386,38.6173,31.55,96,100,6.49
236,Samfya,ZM,2021-04-02 16:50:10,-11.3649,29.5565,70.66,74,48,4.47
237,Meulaboh,ID,2021-04-02 16:50:11,4.1363,96.1285,76.5,86,100,7.76
238,Waverly,US,2021-04-02 16:48:22,42.7392,-84.6208,39.0,28,1,5.75
239,Khatanga,RU,2021-04-02 16:50:11,71.9667,102.5,-30.77,98,5,5.14
240,Tocopilla,CL,2021-04-02 16:50:12,-22.092,-70.1979,72.9,68,12,12.17
241,Kismayo,SO,2021-04-02 16:50:12,-0.3582,42.5454,82.63,80,49,12.53
242,El Dorado,US,2021-04-02 16:48:46,38.7666,-120.5177,68.0,22,1,3.44
243,New Glasgow,CA,2021-04-02 16:45:16,45.5834,-62.6486,35.6,100,100,17.27
244,Muana,BR,2021-04-02 16:50:13,-1.5283,-49.2167,83.75,72,93,0.67
245,Nishihara,JP,2021-04-02 16:50:13,26.1842,127.7558,71.6,94,40,3.44
246,Arlit,NE,2021-04-02 16:50:13,18.7369,7.3853,89.56,5,1,8.68
247,Iaciara,BR,2021-04-02 16:50:14,-14.0958,-46.6317,89.19,45,86,1.19
248,Trinidad,BO,2021-04-02 16:50:14,-14.8333,-64.9,75.2,94,90,3.44
249,Panguna,PG,2021-04-02 16:50:14,-6.3164,155.4848,68.18,93,100,1.61
250,Mkushi,ZM,2021-04-02 16:50:15,-13.6202,29.3939,63.88,85,14,7.49
251,Tema,GH,2021-04-02 16:50:15,5.667,-0.0166,87.8,70,20,9.22
252,Ponferrada,ES,2021-04-02 16:50:16,42.5466,-6.5962,59.0,87,92,1.01
253,Queenstown,ZA,2021-04-02 16:50:16,-31.8976,26.8753,58.1,79,100,6.69
254,Verkhovazhye,RU,2021-04-02 16:50:16,60.7472,42.0465,30.67,95,100,1.99
255,Baoding,CN,2021-04-02 16:50:17,38.8511,115.4903,51.67,73,100,5.88
256,Barcelos,PT,2021-04-02 16:50:17,41.5388,-8.6151,63.0,82,40,8.05
257,Wenling,CN,2021-04-02 16:50:17,28.3669,121.36,64.0,96,73,1.16
258,Nampula,MZ,2021-04-02 16:50:18,-15.1165,39.2666,75.2,88,75,6.91
259,Talara,PE,2021-04-02 16:50:18,-4.5772,-81.2719,86.0,48,0,16.11
260,Broken Hill,AU,2021-04-02 16:50:18,-31.95,141.4333,64.4,45,0,9.22
261,Praia,CV,2021-04-02 16:50:19,14.9215,-23.5087,86.0,28,0,18.41
262,Tagusao,PH,2021-04-02 16:50:19,9.1924,117.8141,78.06,86,87,1.57
263,Jumla,NP,2021-04-02 16:50:19,29.2747,82.1838,40.05,26,1,7.16
264,Fort Wellington,GY,2021-04-02 16:50:20,6.4,-57.6,83.8,63,54,9.13
265,Springbok,ZA,2021-04-02 16:50:20,-29.6643,17.8865,68.58,25,79,5.61
266,Labuhan,ID,2021-04-02 16:50:20,-6.8844,112.2051,79.81,83,42,5.88
267,Pauini,BR,2021-04-02 16:50:21,-7.7136,-66.9764,83.89,77,79,2.59
268,Tutoia,BR,2021-04-02 16:50:21,-2.7619,-42.2744,89.6,58,40,11.5
269,Kaitangata,NZ,2021-04-02 16:50:21,-46.2817,169.8464,41.4,91,47,5.53
270,Palmaner,IN,2021-04-02 16:50:22,13.2,78.75,77.36,57,4,5.39
271,Hearst,CA,2021-04-02 16:50:22,49.6835,-83.6665,35.6,32,57,9.22
272,Pevek,RU,2021-04-02 16:50:22,69.7008,170.3133,-19.8,96,12,3.78
273,Adrar,MR,2021-04-02 16:50:23,20.5022,-10.0711,100.69,3,20,9.01
274,Maceio,BR,2021-04-02 16:48:24,-9.6658,-35.7353,87.8,66,75,5.75
275,Pecos,US,2021-04-02 16:50:23,31.4229,-103.4932,64.0,20,1,21.85
276,Maltahohe,NA,2021-04-02 16:50:24,-24.8333,16.9833,80.15,28,65,3.13
277,Pangody,RU,2021-04-02 16:50:24,65.85,74.4859,27.82,97,100,8.97
278,Kashary,RU,2021-04-02 16:50:24,49.04,41.0056,50.43,56,7,6.44
279,Bumba,CD,2021-04-02 16:50:25,2.1833,22.4667,77.79,75,70,4.07
280,Marsh Harbour,BS,2021-04-02 16:50:25,26.5412,-77.0636,69.85,60,100,23.8
281,Kirakira,SB,2021-04-02 16:50:25,-10.4544,161.9205,79.09,83,100,2.55
282,Pudozh,RU,2021-04-02 16:50:26,61.8099,36.5345,27.27,97,100,0.83
283,Korla,CN,2021-04-02 16:50:26,41.7597,86.1469,49.05,29,96,16.98
284,Donskoye,RU,2021-04-02 16:50:26,45.4552,41.9741,48.2,66,0,11.18
285,Ankazoabo,MG,2021-04-02 16:50:27,-22.2833,44.5167,79.65,54,49,1.5
286,Maniitsoq,GL,2021-04-02 16:50:27,65.4167,-52.9,14.77,69,100,7.9
287,Broome,US,2021-04-02 16:50:28,42.2506,-75.833,32.0,50,20,21.85
288,Avera,US,2021-04-02 16:50:28,33.194,-82.5271,50.0,31,1,10.36
289,Ardakan,IR,2021-04-02 16:50:28,32.31,54.0175,77.0,29,20,11.5
290,San Jeronimito,MX,2021-04-02 16:50:29,17.55,-101.3333,86.0,62,1,6.13
291,Tuatapere,NZ,2021-04-02 16:50:09,-46.1333,167.6833,41.61,87,47,3.6
292,Ossora,RU,2021-04-02 16:50:29,59.2353,163.0719,4.96,85,94,6.49
293,Cabras,IT,2021-04-02 16:50:30,39.93,8.5314,60.01,88,29,7.0
